"PRODUCT","DRAW NUMBER","SEQUENCE NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","BONUS NUMBER"
"649",1,0,"1982-06-12",3,11,12,14,41,43,13
"649",2,0,"1982-06-19",8,33,36,37,39,41,9
"649",3,0,"1982-06-26",1,6,23,24,27,39,34
"649",4,0,"1982-07-03",3,9,10,13,20,43,34
"649",5,0,"1982-07-10",5,14,21,31,34,47,45
"649",6,0,"1982-07-17",8,20,21,25,31,41,33
"649",7,0,"1982-07-24",18,25,28,33,36,42,7
"649",8,0,"1982-07-31",7,16,17,31,40,48,26
"649",9,0,"1982-08-07",5,10,23,27,37,38,33
"649",10,0,"1982-08-14",4,15,30,37,46,48,3
"649",11,0,"1982-08-21",7,9,21,33,38,42,45
"649",12,0,"1982-08-28",11,17,19,20,36,43,9
"649",13,0,"1982-09-04",7,14,17,20,37,47,34
"649",14,0,"1982-09-11",25,28,29,30,35,44,3
"649",15,0,"1982-09-18",8,18,36,39,41,47,31
"649",16,0,"1982-09-25",9,12,13,14,44,48,18
"649",17,0,"1982-10-02",4,14,18,40,43,44,5
"649",18,0,"1982-10-09",13,16,18,34,35,36,26
"649",19,0,"1982-10-16",11,23,25,28,29,36,27
"649",20,0,"1982-10-23",7,18,23,25,37,45,39
"649",21,0,"1982-10-30",11,18,19,31,37,45,41
"649",22,0,"1982-11-06",8,14,16,18,31,48,45
"649",23,0,"1982-11-13",4,11,23,24,25,45,41
"649",24,0,"1982-11-20",3,4,19,33,34,48,39
"649",25,0,"1982-11-27",5,17,21,28,30,43,36
"649",26,0,"1982-12-04",6,17,24,36,38,46,29
"649",27,0,"1982-12-11",4,9,10,11,43,46,3
"649",28,0,"1982-12-18",7,13,23,32,33,45,36
"649",29,0,"1982-12-25",11,18,22,28,35,37,42
"649",30,0,"1983-01-01",25,26,31,35,45,48,12
"649",31,0,"1983-01-08",11,19,25,31,32,36,44
"649",32,0,"1983-01-15",8,34,37,39,41,47,18
"649",33,0,"1983-01-22",5,10,30,35,36,45,13
"649",34,0,"1983-01-29",8,22,26,27,34,42,14
"649",35,0,"1983-02-05",3,5,6,33,38,39,8
"649",36,0,"1983-02-12",10,14,25,31,44,47,17
"649",37,0,"1983-02-19",11,13,15,16,24,31,9
"649",38,0,"1983-02-26",11,12,19,25,29,44,48
"649",39,0,"1983-03-05",2,7,21,22,30,33,3
"649",40,0,"1983-03-12",11,15,25,38,41,43,37
"649",41,0,"1983-03-19",2,10,11,31,43,49,29
"649",42,0,"1983-03-26",21,24,25,32,39,49,40
"649",43,0,"1983-04-02",4,10,23,38,41,46,43
"649",44,0,"1983-04-09",20,24,28,35,42,46,27
"649",45,0,"1983-04-16",1,3,19,31,32,47,37
"649",46,0,"1983-04-23",3,17,20,30,35,48,26
"649",47,0,"1983-04-30",18,26,29,35,36,49,25
"649",48,0,"1983-05-07",2,13,41,42,44,47,12
"649",49,0,"1983-05-14",7,10,11,16,28,40,6
"649",50,0,"1983-05-21",6,7,10,32,36,38,46
"649",51,0,"1983-05-28",2,29,31,40,45,48,41
"649",52,0,"1983-06-04",4,14,24,31,33,35,29
"649",53,0,"1983-06-11",7,19,26,28,45,49,34
"649",54,0,"1983-06-18",9,19,28,36,45,46,3
"649",55,0,"1983-06-25",4,11,14,20,26,30,39
"649",56,0,"1983-07-02",5,9,27,39,40,43,17
"649",57,0,"1983-07-09",16,19,22,29,44,48,31
"649",58,0,"1983-07-16",11,14,18,31,35,49,42
"649",59,0,"1983-07-23",22,23,25,26,35,41,39
"649",60,0,"1983-07-30",3,6,7,33,34,36,15
"649",61,0,"1983-08-06",9,11,27,28,37,46,29
"649",62,0,"1983-08-13",1,2,8,23,46,48,20
"649",63,0,"1983-08-20",9,12,20,21,37,43,49
"649",64,0,"1983-08-27",9,16,18,20,26,43,38
"649",65,0,"1983-09-03",1,6,13,15,22,27,10
"649",66,0,"1983-09-10",23,30,32,33,35,44,2
"649",67,0,"1983-09-17",9,21,22,29,48,49,28
"649",68,0,"1983-09-24",1,6,15,34,42,44,49
"649",69,0,"1983-10-01",1,15,20,22,24,49,40
"649",70,0,"1983-10-08",13,23,37,43,48,49,27
"649",71,0,"1983-10-15",2,3,23,26,27,40,4
"649",72,0,"1983-10-22",8,14,25,32,34,35,16
"649",73,0,"1983-10-29",1,5,7,8,11,13,3
"649",74,0,"1983-11-05",18,20,23,26,33,49,31
"649",75,0,"1983-11-12",1,2,7,13,22,31,5
"649",76,0,"1983-11-19",4,14,16,30,33,38,22
"649",77,0,"1983-11-26",3,12,16,21,33,49,44
"649",78,0,"1983-12-03",3,5,19,26,32,43,30
"649",79,0,"1983-12-10",1,14,22,25,40,42,19
"649",80,0,"1983-12-17",7,9,20,28,35,41,16
"649",81,0,"1983-12-24",1,2,13,21,42,48,7
"649",82,0,"1983-12-31",7,22,25,27,30,35,45
"649",83,0,"1984-01-07",1,7,14,31,41,43,12
"649",84,0,"1984-01-14",2,12,29,31,44,46,40
"649",85,0,"1984-01-21",1,5,14,24,25,38,27
"649",86,0,"1984-01-28",15,24,27,32,34,49,25
"649",87,0,"1984-02-04",20,26,28,30,45,48,25
"649",88,0,"1984-02-11",22,29,36,44,46,47,24
